id,Author,Year,Delete metric,Metric,Note,Note.two,Name,Label,Notation,Validation.obsolete,By.id.obsolete,By.Author.obsolete,Experiment.obsolete,Subjects.obsolete,Models.obsolete,Concept.obsolete,Statistics test used.obsolete,Result.obsolete,Category,Cluster.reason,Applicable to CMMN,Reason
19518,Rolon2006,2006,,\texttt{NSFE},,,number of sequence flows from events,NumberOfSequenceFlowsFromEvents,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NTSE},,,total number of start events,NumberOfStartEvents,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NSLE},,,number of start link event,NumberOfStartLinkEvent,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NSMsE},,,number of start message event,NumberOfStartMessageEvent,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NSMuE},,,number of start multiple event,NumberOfStartMultipleEvent,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NSNE},,,number of start none event,NumberOfStartNoneEvent,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NSRE},,,number of start rule event,NumberOfStartRuleEvent,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NSTE},,,number of start timer event,NumberOfStartTimerEvent,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NT},,,number of simple tasks,NumberOfTasks,BPMN,N,19518,Rolon2006,,,,,none,,Counter,Task count,Yes,Count tasks
19518,Rolon2006,2006,Dup,\texttt{PDOPIn},,,rate of input data object over the total of data objects\cite{Garcia2004},RateOfInputDataObjectOverTotalDObjects,BPMN,N,19518,Rolon2006,,,,,none,,Ratio,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,Dup,\texttt{PDOTOut},,,rate of output data object over the total of tasks\cite{Garcia2003inte},RateOfOutputDataObjectOverTheTotalOfTasks,BPMN,N,19518,Rolon2006,,,,,none,,Ratio,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,Dup,\texttt{PDOPOut},,,rate of output data object over the total of data objects\cite{Garcia2004},RateOfOutputDataObjectOverTotalDObjects,BPMN,N,19518,Rolon2006,,,,,none,,Ratio,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,Dup,\texttt{PLT},,,rate of pools and lanes over the total of tasks\cite{Garcia2003inte},RateOfPoolsAndLanesOverTheTotalOfTasks,BPMN,N,19518,Rolon2006,,,,,none,,Ratio,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,Dup,\texttt{TNT},,,total number of tasks\cite{Garcia2003inte},TNumberOfTasks,BPMN,N,19518,Rolon2006,,,,,none,,Counter,Task count,Yes,Count tasks
198,Cardoso2007,2007,Dx,\texttt{CFC}_{\texttt{Act}}^{\texttt{BPEL}}(a),,,activity flow complexity for BPEL process,ActivityFlowComplexityForBPEL ,BPEL,N,198,Cardoso2007,,,,,Was-never-validated,,,,,
198,Cardoso2007,2007,,\texttt{CFC}_{\texttt{Process}}^{\texttt{BPEL}},,,control-flow complexity for BPEL process,ControlflowComplexityForBPELProcess,BPEL,N,198,Cardoso2007,,,,,Was-never-validated,,Calculated,,No,graph based so require arcs
1473,Cardoso2007busi,2007,,\texttt{LBC}_T,,second set of ,log-based complexity,LogBasedComplexity,BPMN,N,1473,Cardoso2007busi,,,,,Was-never-validated,,Algorithm,,No,graph based so require arcs
1487,Vanderfeesten2007a,2007,,\texttt{CP},,,coupling,Coupling,Graph,N,1487,Vanderfeesten2007a,,,,,Was-never-validated,,Calculated,,No,graph based so require arcs
1587,Mendling2007,2007,,\overline{\texttt{d}_C},,,average degree of connectors,AverageDegreeOfConnectors,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Average,,No,graph based so require arcs
1587,Mendling2007,2007,Dup,\texttt{CNC},,,coefficient of network connectivity\cite{Latva2001},CoefficientOfNetworkConnectivity,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Ratio,,No,graph based so require arcs
1587,Mendling2007,2007,,\texttt{CH},,,connector heterogeneity,ConnectorHeterogeneity,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Calculated,,No,graph based so require arcs
1587,Mendling2007,2007,,\texttt{MM},,,connector mismatch,ConnectorMismatch,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Calculated,,No,graph based so require arcs
1587,Mendling2007,2007,,\texttt{CYC},,,cyclicity,Cyclicity,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Ratio,,No,graph based so require arcs
1587,Mendling2007,2007,,\Delta,,,density of the process graph,DensityOfTheProcessGraph,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Calculated,,No,graph based so require arcs
1587,Mendling2007,2007,,\texttt{diam},,,diameter,Diameter,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Counter,,No,graph based so require arcs
1587,Mendling2007,2007,,\Lambda,,,maximum depth of all nodes,MaximumDepthOfAllNodes,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Algorithm,,No,graph based so require arcs
1587,Mendling2007,2007,,\widehat{\texttt{d}_C},,,maximun degree of a connector,MaximunDegreeOfAConnector,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Calculated,,No,Concept does not exist in {\glCMMN}
1587,Mendling2007,2007,,\texttt{S}_{C_{and}},,,number of AND connectors,NumberOfANDConnectors,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Counter,,No,Concept does not exist in {\glCMMN}
1587,Mendling2007,2007,Dup,\texttt{S}_{j_{and}},,,number of AND joins\cite{Mendling2006a},NumberOfANDJoinsMendling,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Counter,,No,concept does not exist in {\glCMMN}
1587,Mendling2007,2007,Dup,\texttt{S}_{S_{and}},,,number of AND splits\cite{Mendling2006a},NumberOfANDSplitsMendling,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Counter,,No,Concept does not exist in {\glCMMN}
1587,Mendling2007,2007,Dup,\texttt{S}_A,,,number of arcs \cite{Mendling2006a},NumberOfArcsMendling,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Counter,,No,graph based so require arcs
1587,Mendling2007,2007,Dup,\texttt{S}_C,,,number of connectors\cite{Garcia2004},NumberOfConnectors,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Counter,,No,Concept does not exist in {\glCMMN}
1587,Mendling2007,2007,Dup,\texttt{S}_{E_E},,,number of end events\cite{Rolon2006},NumberOfEndEventsMendlingX,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Counter,,No,concept does not exist in {\glCMMN}
1587,Mendling2007,2007,Dup,\texttt{S}_E,,,number of events\cite{Rolon2006},NumberOfEventsMendling,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Counter,Event count,Yes,Count events
1587,Mendling2007,2007,Dup,\texttt{S}_F,,,number of functions\cite{Mendling2006a},NumberOfFunctionsMendling,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Counter,,No,concept does not exist in {\glCMMN}
1587,Mendling2007,2007,Dup,\texttt{S}_N,,,number of nodes\cite{Garcia2003inte},NumberOfNodes,EPC,S,1587,Mendling2007,,,,,"ANOVA, Correlation, Logistic Regression",,Counter,Task count,Yes,Count tasks
